               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.02453,            0.013228,           0.0014914,             0.77587,             0.76275,             0.68846,             0.54621,            0.021818,           0.0076491,           0.0025117,            0.007927,            0.007927,            0.007927
                  36,            0.024701,            0.013334,           0.0014341,              0.7746,             0.75762,             0.69972,              0.5392,            0.022561,           0.0078952,           0.0026452,            0.007816,            0.007816,            0.007816
                  37,            0.024212,            0.013147,           0.0014402,             0.77001,             0.76146,             0.67699,             0.53599,            0.021467,           0.0076525,           0.0026268,           0.0077031,           0.0077031,           0.0077031
                  38,            0.024459,            0.013309,            0.001511,             0.77725,             0.76346,             0.68312,             0.54117,            0.022172,           0.0076751,           0.0026638,           0.0075886,           0.0075886,           0.0075886
                  39,            0.023929,            0.013011,           0.0013341,             0.77369,             0.76144,             0.68924,             0.54455,            0.022278,           0.0077043,           0.0026873,           0.0074725,           0.0074725,           0.0074725
                  40,            0.023652,             0.01279,           0.0014007,             0.76678,             0.76527,             0.68038,             0.54489,            0.021824,           0.0077413,           0.0027512,            0.007355,            0.007355,            0.007355
                  41,            0.023472,            0.012487,           0.0012438,             0.77944,             0.76777,             0.69109,             0.55645,            0.021606,           0.0075842,           0.0025928,           0.0072361,           0.0072361,           0.0072361
                  42,            0.023153,             0.01243,           0.0012876,             0.76901,             0.76265,             0.67714,             0.52842,            0.021884,           0.0078186,            0.002403,            0.007116,            0.007116,            0.007116
                  43,            0.023059,             0.01245,           0.0012474,             0.75729,             0.76527,             0.67886,             0.53486,            0.021957,           0.0082464,             0.00261,           0.0069948,           0.0069948,           0.0069948
                  44,            0.023193,            0.012554,           0.0013792,             0.77695,             0.75773,             0.67466,             0.53246,            0.021415,           0.0078994,           0.0027559,           0.0068726,           0.0068726,           0.0068726
                  45,            0.022727,            0.012309,           0.0011989,             0.78452,             0.75768,             0.70036,             0.55679,            0.021215,           0.0076127,           0.0028044,           0.0067495,           0.0067495,           0.0067495
                  46,            0.022596,            0.012191,           0.0012135,             0.77511,             0.76401,             0.70533,             0.56359,            0.021361,           0.0077272,           0.0027559,           0.0066257,           0.0066257,           0.0066257
                  47,               0.023,            0.012678,           0.0014952,              0.7705,             0.77384,             0.67603,              0.5291,            0.021703,           0.0079208,           0.0024181,           0.0065013,           0.0065013,           0.0065013
                  48,            0.023922,            0.013401,           0.0015298,               0.779,             0.76274,             0.69759,             0.54932,            0.021367,           0.0078521,           0.0027611,           0.0063764,           0.0063764,           0.0063764
                  49,            0.022546,            0.012368,           0.0012429,             0.77816,             0.76644,             0.68032,             0.53934,            0.021338,           0.0078181,           0.0028125,           0.0062512,           0.0062512,           0.0062512
                  50,            0.022784,             0.01259,           0.0014759,             0.77465,             0.76102,             0.68401,             0.53967,            0.021669,           0.0078481,           0.0032209,           0.0061256,           0.0061256,           0.0061256
                  51,            0.024598,            0.014041,           0.0018099,             0.78284,             0.75646,             0.69132,              0.5477,            0.021695,           0.0076997,           0.0025945,               0.006,               0.006,               0.006
                  52,            0.022659,            0.012381,           0.0012337,             0.76728,              0.7612,              0.6617,             0.52748,            0.021605,           0.0077673,           0.0028711,           0.0058744,           0.0058744,           0.0058744
                  53,            0.021996,            0.012073,           0.0012686,             0.77873,             0.76274,              0.6754,             0.53357,            0.021669,           0.0076572,           0.0029465,           0.0057488,           0.0057488,           0.0057488
                  54,             0.02152,            0.011842,           0.0011579,             0.78732,             0.75527,             0.68785,             0.54928,            0.021481,           0.0076739,           0.0030898,           0.0056236,           0.0056236,           0.0056236
                  55,            0.021379,            0.011632,           0.0010729,             0.78209,             0.75648,             0.67001,             0.53338,            0.021503,           0.0077591,            0.002996,           0.0054987,           0.0054987,           0.0054987
                  56,            0.021289,             0.01157,           0.0010374,             0.78121,             0.75183,             0.68241,             0.54326,            0.021317,           0.0079144,           0.0029837,           0.0053743,           0.0053743,           0.0053743
                  57,            0.020966,            0.011552,            0.001069,              0.7767,             0.75772,             0.67835,             0.54246,            0.021401,           0.0077847,           0.0029443,           0.0052505,           0.0052505,           0.0052505
                  58,            0.020879,            0.011402,           0.0010368,             0.77615,             0.75772,             0.67967,             0.54526,            0.021124,           0.0077709,           0.0029501,           0.0051274,           0.0051274,           0.0051274
                  59,             0.02069,             0.01116,          0.00098241,             0.78196,             0.76419,             0.68478,             0.55192,            0.021171,           0.0078157,           0.0028007,           0.0050052,           0.0050052,           0.0050052
                  60,            0.020534,            0.011308,           0.0010601,               0.775,             0.75404,             0.68598,             0.54687,            0.021349,           0.0078622,           0.0027771,            0.004884,            0.004884,            0.004884
                  61,            0.020408,            0.011139,           0.0010052,             0.78292,             0.76021,             0.68661,             0.55043,            0.021117,           0.0077695,            0.002867,           0.0047639,           0.0047639,           0.0047639
                  62,            0.020277,            0.011139,           0.0010596,             0.77934,             0.75995,             0.69547,             0.56434,             0.02122,           0.0078934,           0.0028393,            0.004645,            0.004645,            0.004645
