               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026995,            0.014459,           0.0014196,             0.76937,             0.75644,             0.67695,              0.5228,            0.022559,           0.0078769,           0.0026339,            0.007927,            0.007927,            0.007927
                  36,            0.027239,            0.014479,           0.0014579,             0.77197,             0.74325,             0.66801,             0.51205,            0.022686,           0.0079202,           0.0023645,            0.007816,            0.007816,            0.007816
                  37,            0.026983,            0.014358,           0.0014178,             0.75992,             0.75766,             0.67462,             0.52223,             0.02247,           0.0076578,           0.0025133,           0.0077031,           0.0077031,           0.0077031
                  38,            0.026721,            0.014169,           0.0013438,             0.77222,             0.75637,             0.68846,             0.53289,            0.022792,           0.0077775,           0.0026736,           0.0075886,           0.0075886,           0.0075886
                  39,            0.026443,            0.014138,           0.0012958,             0.78535,             0.75766,             0.69252,             0.52599,            0.022984,           0.0078937,           0.0026626,           0.0074725,           0.0074725,           0.0074725
                  40,            0.026277,            0.013872,           0.0013757,             0.77267,             0.73196,             0.68488,             0.54093,             0.02255,           0.0079826,            0.002761,            0.007355,            0.007355,            0.007355
                  41,            0.026342,            0.013886,           0.0013421,             0.77358,             0.73902,             0.67354,             0.53845,             0.02219,           0.0077656,           0.0027271,           0.0072361,           0.0072361,           0.0072361
                  42,            0.026039,            0.013829,           0.0012892,             0.76449,             0.75269,             0.67764,             0.52973,            0.022166,           0.0077604,           0.0024022,            0.007116,            0.007116,            0.007116
                  43,            0.025966,            0.013809,           0.0012985,             0.77644,             0.75519,             0.68885,              0.5445,            0.022101,           0.0077417,           0.0025026,           0.0069948,           0.0069948,           0.0069948
                  44,             0.02587,            0.013678,           0.0012022,             0.76892,             0.75208,             0.67244,             0.52778,            0.022257,           0.0078489,           0.0026446,           0.0068726,           0.0068726,           0.0068726
                  45,            0.025626,            0.013713,           0.0012245,             0.77744,              0.7417,             0.68252,              0.5384,            0.021873,           0.0078823,           0.0027258,           0.0067495,           0.0067495,           0.0067495
                  46,            0.025259,            0.013616,           0.0012457,             0.76554,               0.757,             0.68359,             0.53871,             0.02227,            0.007752,           0.0027577,           0.0066257,           0.0066257,           0.0066257
                  47,            0.025579,            0.013781,           0.0011905,             0.76149,              0.7564,             0.68928,             0.55035,            0.022166,           0.0077794,           0.0027424,           0.0065013,           0.0065013,           0.0065013
                  48,            0.025261,            0.013423,           0.0013506,              0.7757,              0.7539,             0.69022,             0.54748,             0.02218,           0.0078553,            0.002618,           0.0063764,           0.0063764,           0.0063764
                  49,            0.025032,            0.013245,           0.0012097,             0.78099,             0.75266,             0.66597,             0.51839,            0.021881,             0.00779,           0.0027637,           0.0062512,           0.0062512,           0.0062512
                  50,             0.02475,            0.013318,           0.0011424,             0.76859,             0.75644,             0.68283,             0.53621,            0.021825,           0.0078211,           0.0025993,           0.0061256,           0.0061256,           0.0061256
                  51,            0.024797,            0.013217,           0.0012311,             0.77689,             0.75413,             0.67658,             0.52385,             0.02205,           0.0078584,           0.0024978,               0.006,               0.006,               0.006
                  52,            0.024565,            0.013119,           0.0011065,             0.79039,             0.74945,             0.67742,              0.5283,            0.021786,            0.007866,           0.0026577,           0.0058744,           0.0058744,           0.0058744
                  53,            0.024415,            0.013115,           0.0010884,              0.7721,             0.75646,             0.67332,             0.52779,            0.021744,           0.0078011,           0.0025354,           0.0057488,           0.0057488,           0.0057488
                  54,            0.024391,            0.012879,           0.0011341,             0.77646,             0.75222,             0.68794,             0.54311,            0.022131,           0.0078154,           0.0024761,           0.0056236,           0.0056236,           0.0056236
                  55,            0.024289,            0.012929,           0.0010403,             0.76197,             0.75768,             0.67541,             0.53107,            0.021981,           0.0076861,           0.0027158,           0.0054987,           0.0054987,           0.0054987
                  56,            0.024104,             0.01302,           0.0010293,             0.78155,             0.74781,              0.6787,             0.53696,            0.021951,           0.0077049,           0.0029148,           0.0053743,           0.0053743,           0.0053743
                  57,            0.023887,            0.012941,           0.0010735,             0.76871,             0.74282,             0.66468,             0.52224,            0.021978,            0.007836,           0.0029743,           0.0052505,           0.0052505,           0.0052505
                  58,            0.023648,            0.012807,           0.0010461,             0.77479,              0.7532,             0.67343,             0.52811,            0.021907,           0.0077184,           0.0027237,           0.0051274,           0.0051274,           0.0051274
                  59,              0.0238,            0.012844,           0.0010833,             0.77876,              0.7552,             0.66463,             0.51995,            0.022023,           0.0077234,           0.0028363,           0.0050052,           0.0050052,           0.0050052
                  60,            0.023721,            0.012641,           0.0010549,             0.76912,             0.76341,             0.69231,             0.54984,             0.02204,           0.0077101,           0.0027072,            0.004884,            0.004884,            0.004884
                  61,            0.023437,            0.012643,          0.00094735,             0.76567,             0.75031,              0.6625,             0.51717,             0.02206,           0.0076527,           0.0027086,           0.0047639,           0.0047639,           0.0047639
                  62,            0.023141,            0.012511,          0.00092752,             0.78434,             0.75653,             0.67097,             0.52341,             0.02192,           0.0076203,           0.0026687,            0.004645,            0.004645,            0.004645
                  63,             0.02321,            0.012603,           0.0010083,              0.7792,             0.74406,             0.67627,             0.53593,            0.021774,            0.007694,           0.0027505,           0.0045275,           0.0045275,           0.0045275
                  64,            0.022974,            0.012393,          0.00099114,             0.77188,             0.74426,             0.66831,             0.53779,            0.021554,           0.0076759,           0.0028001,           0.0044114,           0.0044114,           0.0044114
                  65,            0.022905,            0.012475,          0.00098404,             0.75316,             0.76427,             0.66163,             0.52206,            0.021638,           0.0076537,           0.0028688,           0.0042969,           0.0042969,           0.0042969
                  66,            0.022711,            0.012298,          0.00095095,             0.75503,             0.76401,             0.66811,             0.52805,            0.021792,           0.0076874,            0.002794,            0.004184,            0.004184,            0.004184
                  67,            0.022799,            0.012314,          0.00098635,             0.76861,             0.76386,             0.68263,             0.54291,            0.021692,           0.0077483,           0.0028401,            0.004073,            0.004073,            0.004073
                  68,            0.022708,            0.012159,          0.00090652,             0.77971,             0.75772,              0.6767,             0.53726,            0.021526,           0.0076776,           0.0028154,           0.0039638,           0.0039638,           0.0039638
                  69,             0.02244,            0.012217,          0.00090257,             0.77994,             0.75885,             0.68481,             0.55186,            0.021438,           0.0077288,           0.0027649,           0.0038567,           0.0038567,           0.0038567
                  70,            0.022523,            0.012229,          0.00094253,             0.78232,             0.75898,             0.66632,             0.52801,            0.021581,           0.0077857,           0.0027439,           0.0037517,           0.0037517,           0.0037517
                  71,            0.022166,            0.011983,          0.00087298,             0.77697,             0.75861,             0.67686,             0.53333,            0.021709,           0.0078002,            0.002839,           0.0036489,           0.0036489,           0.0036489
                  72,            0.022162,            0.012037,          0.00091665,             0.77519,             0.76149,             0.66489,             0.52551,            0.021501,           0.0077495,            0.002989,           0.0035484,           0.0035484,           0.0035484
                  73,            0.021935,            0.011951,          0.00088368,             0.77394,             0.74373,             0.66479,             0.52935,            0.021568,           0.0077437,           0.0029626,           0.0034503,           0.0034503,           0.0034503
                  74,            0.022055,            0.012009,          0.00090802,             0.78074,             0.75755,             0.67957,             0.53903,             0.02161,           0.0077736,           0.0029691,           0.0033548,           0.0033548,           0.0033548
                  75,            0.021904,            0.011918,          0.00086876,             0.77997,             0.75214,              0.6793,             0.54101,            0.021443,           0.0077756,           0.0029269,           0.0032618,           0.0032618,           0.0032618
                  76,            0.021922,            0.011788,          0.00083776,             0.77606,              0.7469,             0.68756,             0.54776,            0.021391,           0.0077857,            0.002932,           0.0031716,           0.0031716,           0.0031716
